Step,Value
0,4403200.0
1,4403200.0
2,2201600.0
3,2355200.0
4,2252800.0
5,3942400.0
6,6195200.0
7,4915200.0
8,9216000.0
9,5990400.0
10,6400000.0
11,8038400.0
12,5888000.0
13,8089600.0
14,7475200.0
15,8192000.0
16,5376000.0
17,6451200.0
18,10598400.0
19,6246400.0
20,8396800.0
21,6451200.0
22,460800.0
23,4608000.0
24,3225600.0
25,2611200.0
26,2713600.0
27,6604800.0
28,5324800.0
29,4812800.0
30,4710400.0
31,5376000.0
32,5785600.0
33,4352000.0
34,6195200.0
35,6604800.0
36,5171200.0
37,6553600.0
38,6297600.0
39,5734400.0
40,5683200.0
41,7475200.0
42,9881600.0
43,9523200.0
44,9523200.0
45,5222400.0
46,7526400.0
47,8601600.0
48,7628800.0
49,7475200.0
50,7782400.0
51,6297600.0
52,8806400.0
53,4608000.0
54,4147200.0
55,3532800.0
56,3020800.0
57,1433600.0
58,5171200.0
59,6246400.0
60,7475200.0
61,7168000.0
62,9164800.0
63,7014400.0
64,5990400.0
65,6297600.0
66,6656000.0
67,5427200.0
68,6144000.0
69,1740800.0
70,4864000.0
71,3430400.0
72,5580800.0
73,6707200.0
74,6348800.0
75,5171200.0
76,6297600.0
77,8396800.0
78,8652800.0
79,7321600.0
80,7628800.0
81,10803200.0
82,7014400.0
83,6092800.0
84,6195200.0
85,6963200.0
86,3993600.0
87,4249600.0
88,3532800.0
89,3020800.0
90,4556800.0
91,4659200.0
92,7270400.0
93,5529600.0
94,8140800.0
95,6246400.0
96,6041600.0
97,5632000.0
98,4249600.0
99,3993600.0
100,2867200.0
101,3584000.0
102,1894400.0
103,1024000.0
104,819200.0
105,2560000.0
106,460800.0
107,2918400.0
108,5171200.0
109,4198400.0
110,4147200.0
111,5427200.0
112,7628800.0
113,4710400.0
114,1792000.0
115,9267200.0
116,7936000.0
117,1126400.0
118,7065600.0
119,5632000.0
120,6451200.0
121,4454400.0
122,8345600.0
123,6963200.0
124,4249600.0
125,5836800.0
126,4454400.0
127,2611200.0
128,1894400.0
129,1382400.0
130,1894400.0
131,2508800.0
132,5478400.0
133,5990400.0
134,4556800.0
135,3430400.0
136,3072000.0
137,1382400.0
138,4300800.0
139,4864000.0
140,6860800.0
141,5171200.0
142,2816000.0
143,3430400.0
144,1280000.0
145,2662400.0
146,1996800.0
147,819200.0
148,3430400.0
149,2816000.0
150,1433600.0
151,2304000.0
152,5171200.0
153,4812800.0
154,4812800.0
155,3993600.0
156,6195200.0
157,5734400.0
158,7628800.0
159,4761600.0
160,2355200.0
161,5888000.0
162,4710400.0
163,3686400.0
164,3020800.0
165,4505600.0
166,5580800.0
167,3788800.0
168,6604800.0
169,9267200.0
170,5222400.0
171,5785600.0
172,4300800.0
173,6400000.0
174,9984000.0
175,8089600.0
176,8396800.0
177,5632000.0
178,1433600.0
179,3686400.0
180,4403200.0
181,6707200.0
182,5222400.0
183,5068800.0
184,3891200.0
185,4556800.0
186,6041600.0
187,7884800.0
188,5324800.0
189,4352000.0
190,7987200.0
191,4505600.0
192,5734400.0
193,3737600.0
194,5171200.0
195,9318400.0
196,10137600.0
197,8243200.0
198,4659200.0
199,5990400.0
200,5939200.0
201,7116800.0
202,6348800.0
203,4300800.0
204,4812800.0
205,3225600.0
206,4556800.0
207,4249600.0
208,5683200.0
209,9318400.0
210,7475200.0
211,5529600.0
212,7219200.0
213,7680000.0
214,6656000.0
215,6707200.0
216,5785600.0
217,5785600.0
218,7731200.0
219,7014400.0
220,6297600.0
221,3532800.0
222,5222400.0
223,5324800.0
224,4659200.0
225,5478400.0
226,5068800.0
227,6451200.0
228,4454400.0
229,7372800.0
230,8448000.0
231,7987200.0
232,7168000.0
233,8294400.0
234,3788800.0
235,4147200.0
236,7168000.0
237,6451200.0
238,6348800.0
239,6553600.0
240,7577600.0
241,5580800.0
242,5836800.0
243,6758400.0
244,8601600.0
245,9318400.0
246,6809600.0
247,4300800.0
248,7168000.0
249,5785600.0
250,8089600.0
251,9267200.0
252,9932800.0
253,6912000.0
254,4198400.0
255,6092800.0
256,3481600.0
257,4096000.0
258,3840000.0
259,3942400.0
260,3737600.0
261,2764800.0
262,5529600.0
263,4198400.0
264,5222400.0
265,7321600.0
266,5324800.0
267,7321600.0
268,3481600.0
269,4198400.0
270,10956800.0
271,10598400.0
272,8140800.0
273,3686400.0
274,6195200.0
275,6092800.0
276,7168000.0
277,10649600.0
278,9728000.0
279,10086400.0
280,6553600.0
281,8755200.0
282,5632000.0
283,5273600.0
284,7168000.0
285,5222400.0
286,4761600.0
287,5478400.0
288,5171200.0
289,2764800.0
290,614400.0
291,3123200.0
292,4249600.0
293,4659200.0
294,5888000.0
295,3020800.0
296,3993600.0
297,5632000.0
298,7782400.0
299,4915200.0
300,7782400.0
301,6092800.0
302,7833600.0
303,10342400.0
304,7628800.0
305,8857600.0
306,9779200.0
307,7782400.0
308,6400000.0
309,6604800.0
310,2867200.0
311,4249600.0
312,3737600.0
313,6092800.0
314,3891200.0
315,5580800.0
316,4352000.0
317,5990400.0
318,6707200.0
319,6912000.0
320,8704000.0
321,10905600.0
322,7116800.0
323,8908800.0
324,8601600.0
325,7270400.0
326,7884800.0
327,5376000.0
328,7782400.0
329,5888000.0
330,5427200.0
331,4352000.0
332,7270400.0
333,6912000.0
334,7987200.0
335,6912000.0
336,6092800.0
337,7065600.0
338,8550400.0
339,4096000.0
340,6246400.0
341,4454400.0
342,5171200.0
343,5324800.0
344,5785600.0
345,5888000.0
346,4864000.0
347,4403200.0
348,5529600.0
349,5836800.0
350,7116800.0
351,5990400.0
352,5580800.0
353,5017600.0
354,4505600.0
355,6758400.0
356,5427200.0
357,7321600.0
358,6400000.0
359,9523200.0
360,8038400.0
361,5376000.0
362,7321600.0
363,6246400.0
364,6092800.0
365,6246400.0
366,4044800.0
367,7065600.0
368,7065600.0
369,6451200.0
370,5785600.0
371,4198400.0
372,4659200.0
373,5529600.0
374,6604800.0
375,9164800.0
376,10188800.0
377,9830400.0
378,8294400.0
379,5171200.0
380,6656000.0
381,2048000.0
382,2764800.0
383,2048000.0
384,3225600.0
385,4352000.0
386,5324800.0
387,4147200.0
388,3225600.0
389,5990400.0
390,5478400.0
391,4608000.0
392,6707200.0
393,6092800.0
394,5120000.0
395,4505600.0
396,3225600.0
397,4403200.0
398,3993600.0
399,5683200.0
400,4044800.0
401,6144000.0
402,5529600.0
403,4608000.0
404,5990400.0
405,6860800.0
406,5683200.0
407,4761600.0
408,5939200.0
409,6707200.0
410,5017600.0
411,7526400.0
412,7116800.0
413,5273600.0
414,3942400.0
415,4300800.0
416,1638400.0
417,3328000.0
418,3891200.0
419,5888000.0
420,4505600.0
421,6604800.0
422,4659200.0
423,4761600.0
424,2355200.0
425,3072000.0
426,7270400.0
427,5836800.0
428,4608000.0
429,6144000.0
430,7936000.0
431,7270400.0
432,6195200.0
433,3840000.0
434,4966400.0
435,6912000.0
436,6502400.0
437,6451200.0
438,5120000.0
439,5068800.0
440,8089600.0
441,5683200.0
442,8089600.0
443,6912000.0
444,6502400.0
445,4659200.0
446,5273600.0
447,5734400.0
448,5376000.0
449,6297600.0
450,3942400.0
451,1894400.0
452,2611200.0
453,4608000.0
454,4864000.0
455,5580800.0
456,3020800.0
457,3072000.0
458,4044800.0
459,4044800.0
460,4864000.0
461,4864000.0
462,10547200.0
463,11929600.0
464,14745600.0
465,14336000.0
466,12236800.0
467,9779200.0
468,10803200.0
469,10086400.0
470,7936000.0
471,3891200.0
472,5632000.0
473,6297600.0
474,4710400.0
475,3891200.0
476,2867200.0
477,4864000.0
478,5068800.0
479,3788800.0
480,7782400.0
481,7475200.0
482,5529600.0
483,10137600.0
484,11366400.0
485,10291200.0
486,9574400.0
487,10137600.0
488,7526400.0
489,6246400.0
490,4505600.0
491,4864000.0
492,3481600.0
493,3532800.0
494,2764800.0
495,3891200.0
496,5068800.0
497,6604800.0
498,6348800.0
499,7116800.0
500,5683200.0
501,5222400.0
502,9318400.0
503,10240000.0
504,6041600.0
505,7014400.0
506,7628800.0
507,6758400.0
508,8396800.0
509,7577600.0
510,7014400.0
511,4761600.0
512,6604800.0
513,4966400.0
514,3328000.0
515,5836800.0
516,5888000.0
517,6092800.0
518,5478400.0
519,5734400.0
520,2508800.0
521,6092800.0
522,5068800.0
523,6400000.0
524,8294400.0
525,7270400.0
526,7372800.0
527,9574400.0
528,9369600.0
529,9369600.0
530,11929600.0
531,6144000.0
532,5017600.0
533,2457600.0
534,3788800.0
535,4352000.0
536,3174400.0
537,4352000.0
538,4864000.0
539,6707200.0
540,7782400.0
541,6348800.0
542,4710400.0
543,6041600.0
544,5734400.0
545,5273600.0
546,4403200.0
547,3532800.0
548,6553600.0
549,4915200.0
550,5580800.0
551,5478400.0
552,7116800.0
553,5324800.0
554,5427200.0
555,6604800.0
556,7731200.0
557,4915200.0
558,5836800.0
559,8089600.0
560,8140800.0
561,7424000.0
562,7475200.0
563,8601600.0
564,5836800.0
565,6809600.0
566,4198400.0
567,4454400.0
568,4608000.0
569,5683200.0
570,5222400.0
571,7782400.0
572,6144000.0
573,5120000.0
574,5171200.0
575,4044800.0
576,5222400.0
577,2508800.0
578,5324800.0
579,4812800.0
580,4300800.0
581,6656000.0
582,5478400.0
583,5632000.0
584,5632000.0
585,3840000.0
586,7065600.0
587,3891200.0
588,4608000.0
589,6092800.0
590,6144000.0
591,7526400.0
592,9830400.0
593,7680000.0
594,6400000.0
595,6144000.0
596,3328000.0
597,6809600.0
598,5529600.0
599,5017600.0
600,3891200.0
601,8499200.0
602,5068800.0
603,6963200.0
604,5273600.0
605,6758400.0
606,5580800.0
607,6912000.0
608,8140800.0
609,7526400.0
610,6604800.0
611,8857600.0
612,10240000.0
613,8448000.0
614,4198400.0
615,4864000.0
616,4505600.0
617,3174400.0
618,4352000.0
619,4812800.0
620,4147200.0
621,8243200.0
622,7065600.0
623,6912000.0
624,7219200.0
625,8396800.0
626,9318400.0
627,7065600.0
628,5990400.0
629,5939200.0
630,8499200.0
631,9011200.0
632,7782400.0
633,7270400.0
634,4608000.0
635,5478400.0
636,5120000.0
637,6451200.0
638,7116800.0
639,3584000.0
640,3840000.0
641,3123200.0
642,4044800.0
643,4864000.0
644,7680000.0
645,4966400.0
646,6604800.0
647,8140800.0
648,7219200.0
649,5939200.0
650,7321600.0
651,6707200.0
652,7628800.0
653,8294400.0
654,5888000.0
655,8038400.0
656,4198400.0
657,4249600.0
658,5068800.0
659,2713600.0
660,2713600.0
661,5171200.0
662,2969600.0
663,9113600.0
664,4864000.0
665,6348800.0
666,8038400.0
667,7987200.0
668,8089600.0
669,5120000.0
670,5529600.0
671,4300800.0
672,2918400.0
673,4147200.0
674,4556800.0
675,3123200.0
676,3891200.0
677,1433600.0
678,2969600.0
679,4300800.0
680,5580800.0
681,7321600.0
682,8550400.0
683,5836800.0
684,8089600.0
685,8396800.0
686,10137600.0
687,12800000.0
688,8499200.0
689,7936000.0
690,6502400.0
691,7833600.0
692,6348800.0
693,3020800.0
694,1843200.0
695,5529600.0
696,7116800.0
697,8243200.0
698,8345600.0
699,7475200.0
700,7065600.0
701,5990400.0
702,8755200.0
703,7014400.0
704,8806400.0
705,6553600.0
706,7577600.0
707,4300800.0
708,5017600.0
709,3840000.0
710,2560000.0
711,5273600.0
712,5068800.0
713,6297600.0
714,4710400.0
715,4198400.0
716,5888000.0
717,7014400.0
718,7987200.0
719,7628800.0
720,7526400.0
721,6604800.0
722,7526400.0
723,5427200.0
724,5683200.0
725,7065600.0
726,5324800.0
727,6246400.0
728,4608000.0
729,6144000.0
730,6297600.0
731,8755200.0
732,9113600.0
733,10137600.0
734,8857600.0
735,9216000.0
736,7321600.0
737,6297600.0
738,3020800.0
739,5068800.0
740,4659200.0
741,6400000.0
742,7731200.0
743,6400000.0
744,4249600.0
745,6707200.0
746,7424000.0
747,8038400.0
748,8652800.0
749,9472000.0
750,9881600.0
751,11520000.0
