Step,Value
0,1.0
1,59.0
2,36.0
3,37.0
4,27.0
5,0.0
6,97.0
7,39.0
8,0.0
9,0.0
10,0.0
11,69.0
12,52.0
13,0.0
14,0.0
15,64.0
16,52.0
17,31.0
18,34.0
19,35.0
20,0.0
21,47.0
22,29.0
23,0.0
24,117.0
25,56.0
26,59.0
27,0.0
28,0.0
29,46.0
30,0.0
31,38.0
32,37.0
33,36.0
34,49.0
35,39.0
36,42.0
37,0.0
38,134.0
39,62.0
40,20.0
41,0.0
42,0.0
43,138.0
44,114.0
45,119.0
46,0.0
47,0.0
48,98.0
49,0.0
50,0.0
51,162.0
52,0.0
53,0.0
54,161.0
55,158.0
56,127.0
57,73.0
58,50.0
59,0.0
60,49.0
61,47.0
62,21.0
63,14.0
64,0.0
65,73.0
66,31.0
67,24.0
68,19.0
69,13.0
70,0.0
71,17.0
72,22.0
73,0.0
74,48.0
75,0.0
76,0.0
77,33.0
78,16.0
79,0.0
80,32.0
81,57.0
82,34.0
83,0.0
84,54.0
85,46.0
86,48.0
87,29.0
88,57.0
89,60.0
90,51.0
91,46.0
92,56.0
93,52.0
94,0.0
95,106.0
96,78.0
97,63.0
98,54.0
99,59.0
100,0.0
101,38.0
102,49.0
103,35.0
104,28.0
105,28.0
106,0.0
107,23.0
108,38.0
109,15.0
110,23.0
111,37.0
112,16.0
113,0.0
114,0.0
115,0.0
116,41.0
117,37.0
118,30.0
119,43.0
120,41.0
121,19.0
122,53.0
123,73.0
124,0.0
125,0.0
126,53.0
127,0.0
128,114.0
129,70.0
130,72.0
131,50.0
132,0.0
133,65.0
134,0.0
135,95.0
136,51.0
137,0.0
138,6.0
139,0.0
140,38.0
141,0.0
142,13.0
143,13.0
144,30.0
145,7.0
146,28.0
147,24.0
148,26.0
149,0.0
150,22.0
151,23.0
152,29.0
153,0.0
154,0.0
155,63.0
156,0.0
157,27.0
158,0.0
159,2.0
160,53.0
161,41.0
162,37.0
163,45.0
164,44.0
165,43.0
166,71.0
167,73.0
168,0.0
169,73.0
170,76.0
171,71.0
172,94.0
173,0.0
174,40.0
175,40.0
176,39.0
177,51.0
178,0.0
179,0.0
180,99.0
181,56.0
182,28.0
183,23.0
184,19.0
185,12.0
186,8.0
187,0.0
188,7.0
189,12.0
190,16.0
191,20.0
